,0,1,2,3,4
0,127,1.0708072113875,62351.907399983,1075,-10.804763595568444
1,157,0.32202269925022,30627.169936008,1050,-6.834937756503174
2,180,0.65797306123841,28506.957911481,902,-7.100776211273625
3,186,1.1404151627163999,82137.734132993,1067,-4.95755078733087
4,190,1.0412611565902,71593.567176713,1037,-7.345816977445586
5,206,0.74056750882285,40013.428392088004,1281,-8.169681963159942
6,216,0.23073872732771,14269.06876189,1520,-8.56133848852147
7,229,0.68298681471521,39709.184311422,823,-15.372044447029715
8,249,0.76823639944513,36429.125961288,1020,-9.492612670295362
9,257,0.27737079130293,36356.5203155,1393,-7.560039145096342
10,28,0.31266233233543,32813.680371221,961,-5.810679314305302
11,303,0.89194863988081,60810.696856815004,1378,-9.079703939820181
12,312,0.35588013832859,9831.6908257919,1708,-9.586917226178937
13,316,0.33558827664824,36356.5203155,2088,-6.0837535016217705
14,325,1.6680778114562,89775.501710914,916,-5.515325536540482
15,334,1.1049559873155999,70287.891438827,1012,-9.818790704059825
16,336,0.66934398802786,32920.980101657995,940,-5.6593037378388535
17,361,0.24419682353582,30627.169936008,4334,-7.6676277171184015
18,37,0.23513925625624,30627.169936008,1065,-4.424735364770606
19,390,0.87478345316343,55236.17169190101,978,-6.820279206429502
20,420,0.96467702705709,77992.690264901,1706,-7.558355796304929
21,422,0.88020382176573,56409.032609083995,1058,-11.264466492484672
22,436,0.25819118196646,36356.5203155,3572,-5.888753691563796
23,471,0.77578561245287,50504.62091747,1016,-5.685819969816874
24,482,0.86398608693332,54967.394077245,982,-10.189215575995378
25,484,0.66937563470396,24486.441011609,887,-5.495468450269305
26,499,0.72127396212474,41082.442363742,870,-6.776849380021407
27,516,0.69338505449281,32942.340829244,859,-7.287389491068537
28,539,0.71614055805102,39709.184311422,1054,-8.857679830183955
29,569,0.44323660541772,47198.244015942,1878,-7.082801495502884
30,587,0.21414959826583,24395.323160771,5044,-5.129364402228539
31,600,0.27116305887778,30627.169936008,1039,-5.392821772174842
32,611,0.86104743239679,66983.690251509,1361,-7.65240411766513
33,619,0.95789007896911,69170.200686721,1063,-8.845136294730493
34,622,0.2879489743721,8268.2746673123,783,-4.643880521666942
35,633,0.24078168581865,31724.737463975,3381,-5.7831799179718395
36,659,0.36849455184599,14269.06876189,5294,-7.775676584202978
37,661,0.33552437529651,36356.5203155,1797,-7.532124627965877
38,696,0.8408610018469,48187.136611505,609,-11.461241187196572
39,699,0.39514605848788,22111.057216141002,2651,-6.3191476636145225
40,732,0.28695377827197,8268.2746673123,785,-4.07004426027451
41,736,0.30749802654411,30627.169936008,1829,-7.690580873245139
42,747,0.2959453644976,36356.5203155,1778,-6.6917863243247675
43,783,0.24086437147861,31724.737463975,1590,-7.751699478522844
44,795,0.18745726020499,19750.15959773,1814,-5.902706197395323
45,802,0.80871946335699,51729.976555785,1035,-8.573362583902796
46,823,0.32597223746972,29547.99398327,1910,-9.138266189943032
47,835,0.45409530072671,45781.213817493,3828,-6.451904729166152
