,index,dot,under,over,inter
0,545,444.4142008436687,0.16,0.248,0.592
1,223,651.6552626412076,0.2803738317757009,0.14953271028037382,0.5700934579439252
2,237,911.9607706386296,0.45112781954887216,0.14285714285714285,0.40601503759398494
3,551,496.3925902415873,0.319672131147541,0.1557377049180328,0.5245901639344263
4,579,642.6877846652203,0.35507246376811596,0.11594202898550725,0.5289855072463768
5,753,858.3625258443012,0.08383233532934131,0.15568862275449102,0.7604790419161677
6,12,450.32153365823604,0.4225352112676056,0.2112676056338028,0.36619718309859156
7,784,840.6108181144116,0.3401360544217687,0.1292517006802721,0.5306122448979592
8,948,702.6747469391051,0.18518518518518517,0.043209876543209874,0.7716049382716049
9,790,704.699675325668,0.06521739130434782,0.463768115942029,0.47101449275362317
10,960,581.873393924036,0.4411764705882353,0.07058823529411765,0.48823529411764705
11,155,868.7939266920001,0.3305084745762712,0.22033898305084745,0.4491525423728814
12,633,885.4480090552325,0.35542168674698793,0.0783132530120482,0.5662650602409639
13,627,816.2233454161044,0.26119402985074625,0.20149253731343283,0.5373134328358209
14,141,555.1420014569305,0.3176470588235294,0.15294117647058825,0.5294117647058824
15,169,666.177005231724,0.36363636363636365,0.14545454545454545,0.4909090909090909
16,196,409.95604060995396,0.1619047619047619,0.14285714285714285,0.6952380952380952
17,182,824.1817967467393,0.2711864406779661,0.059322033898305086,0.6694915254237288
18,800,900.1689216879996,0.10273972602739725,0.19863013698630136,0.6986301369863014
19,431,464.7022466598248,0.11016949152542373,0.4576271186440678,0.4322033898305085
20,357,611.5008412586052,0.272108843537415,0.027210884353741496,0.7006802721088435
21,343,885.826820768856,0.3333333333333333,0.0851063829787234,0.5815602836879432
22,425,434.5778638771162,0.12612612612612617,0.4144144144144145,0.4594594594594596
23,419,569.0454402362842,0.07766990291262135,0.4854368932038835,0.4368932038834951
24,394,412.203229343614,0.2786885245901639,0.19672131147540983,0.5245901639344263
25,380,841.8859699089292,0.4166666666666667,0.0641025641025641,0.5192307692307693
26,381,783.7393194619581,0.34415584415584416,0.07142857142857142,0.5844155844155844
27,395,372.68741197690537,0.20512820512820512,0.27350427350427353,0.5213675213675214
28,418,676.7778655156851,0.24299065420560748,0.16822429906542055,0.5887850467289719
29,342,836.6991189569977,0.1935483870967742,0.12903225806451613,0.6774193548387096
30,424,827.9810991490727,0.0,0.6082474226804125,0.39175257731958774
31,430,447.16195679717555,0.25510204081632654,0.1836734693877551,0.5612244897959183
32,356,573.1000215814503,0.2631578947368421,0.12781954887218044,0.6090225563909775
33,801,908.2622915944718,0.1119402985074627,0.3134328358208956,0.5746268656716419
34,183,586.8239059752694,0.2807017543859649,0.12280701754385964,0.5964912280701754
35,197,255.1476491691389,0.13725490196078433,0.23529411764705882,0.6274509803921569
36,168,716.5097021895144,0.3177570093457944,0.18691588785046728,0.4953271028037383
