,iee,tadd
0,0.10708072113875D+01,0.62351907399983D+05
1,0.32202269925022D+00,0.30627169936008D+05
2,0.65797306123841D+00,0.28506957911481D+05
3,0.11404151627164D+01,0.82137734132993D+05
4,0.10412611565902D+01,0.71593567176713D+05
5,0.74056750882285D+00,0.40013428392088D+05
6,0.23073872732771D+00,0.14269068761890D+05
7,0.68298681471521D+00,0.39709184311422D+05
8,0.76823639944513D+00,0.36429125961288D+05
9,0.27737079130293D+00,0.36356520315500D+05
10,0.31266233233543D+00,0.32813680371221D+05
11,0.89194863988081D+00,0.60810696856815D+05
12,0.35588013832859D+00,0.98316908257919D+04
13,0.33558827664824D+00,0.36356520315500D+05
14,0.16680778114562D+01,0.89775501710914D+05
15,0.11049559873156D+01,0.70287891438827D+05
16,0.66934398802786D+00,0.32920980101658D+05
17,0.24419682353582D+00,0.30627169936008D+05
18,0.23513925625624D+00,0.30627169936008D+05
19,0.87478345316343D+00,0.55236171691901D+05
20,0.96467702705709D+00,0.77992690264901D+05
21,0.88020382176573D+00,0.56409032609084D+05
22,0.25819118196646D+00,0.36356520315500D+05
23,0.77578561245287D+00,0.50504620917470D+05
24,0.86398608693332D+00,0.54967394077245D+05
25,0.66937563470396D+00,0.24486441011609D+05
26,0.72127396212474D+00,0.41082442363742D+05
27,0.69338505449281D+00,0.32942340829244D+05
28,0.71614055805102D+00,0.39709184311422D+05
29,0.44323660541772D+00,0.47198244015942D+05
30,0.21414959826583D+00,0.24395323160771D+05
31,0.27116305887778D+00,0.30627169936008D+05
32,0.86104743239679D+00,0.66983690251509D+05
33,0.95789007896911D+00,0.69170200686721D+05
34,0.28794897437210D+00,0.82682746673123D+04
35,0.24078168581865D+00,0.31724737463975D+05
36,0.36849455184599D+00,0.14269068761890D+05
37,0.33552437529651D+00,0.36356520315500D+05
38,0.84086100184690D+00,0.48187136611505D+05
39,0.39514605848788D+00,0.22111057216141D+05
40,0.28695377827197D+00,0.82682746673123D+04
41,0.30749802654411D+00,0.30627169936008D+05
42,0.29594536449760D+00,0.36356520315500D+05
43,0.24086437147861D+00,0.31724737463975D+05
44,0.18745726020499D+00,0.19750159597730D+05
45,0.80871946335699D+00,0.51729976555785D+05
46,0.32597223746972D+00,0.29547993983270D+05
47,0.45409530072671D+00,0.45781213817493D+05
