34
1 fs input comment
C -1.7510613648339004 -1.9019503094630401 0.6143100363661324
C -3.988411219795059 -1.5555559595746529 -0.3776697728117998
C 2.4346817638267177 -2.193505644851571 -0.6827152401585393
C 3.7516724300292354 0.48279051903048564 -0.6422906140670722
C 2.243308856456294 -0.15582777592214533 2.1362128633658886
C -2.6645601035272106 0.41746409274583585 0.2940949322052364
C -2.577070101306808 -1.0314870209076878 -0.2334287157933015
C -1.2255707050379516 1.0839197743764077 0.5763711400086043
C -0.2361753746679795 1.0096404867517987 -0.5837339927108715
N -1.3451920447776238 2.5330794829242524 0.6680706991428471
O -0.4076537456985372 1.6381092220174545 -1.5931535823465657
O 0.8528704101330569 0.27762222187450797 -0.34929459423412884
Si 2.270551770561104 -0.35745067303231826 0.10429273026198675
H -1.9773411977118076 -1.63085413232896 1.643074605887281
H -0.6606534483754174 -1.6183323037916615 0.5156954601836032
H -1.8700466351456708 -2.9820959913231366 0.4582458025845825
H -4.521117580952881 -1.4394525535886233 0.5829497529851914
H -4.065364690105242 -2.4925150727334984 -0.8256505755598755
H -4.336008926001017 -0.8615558662801109 -1.1868567250747006
H 2.1773686288578036 -2.3212129929517333 -1.783995028347124
H 1.8342052364790862 -2.9564822866766653 -0.12428507680789264
H 3.53605492213079 -2.476074649613084 -0.6422283121891275
H 4.475150048295666 -0.12583553353626306 -1.3910589563830056
H 4.381899789095939 0.9176870048289764 0.12656685232181192
H 3.558765267492192 1.35191426611669 -1.2720857653716402
H 3.2462730290228907 -0.42734169805930783 2.4090904931443236
H 1.3720244336513439 -0.6951422032530706 2.5719695456395635
H 2.1511497522205967 0.9049927066093331 2.4187777102402928
H -3.299494595663158 0.4843130158462927 1.1374376674365156
H -3.1579737180385896 1.0495070300431255 -0.4531058348322663
H -2.115747945666506 -0.9642495698932569 -1.1320163566199861
H -0.9394106411486407 0.6417130601433783 1.5374597526948088
H -2.2822768261133124 2.8243834369961616 1.1250680689986419
H -1.3676959488786848 2.9444110652011317 -0.18959343411317736
34
2 fs input comment
C -1.735675152131291 -1.9420192657462227 0.642914814435287
C -3.94055952004637 -1.5212963827928558 -0.38160322069983565
C 2.504299348182979 -2.198606946975895 -0.6482643238355964
C 3.7257721996677065 0.5092168517424902 -0.6433704920949523
C 2.2444944114986494 -0.13667134648904458 2.097244306355061
C -2.616571964937069 0.4522826122962271 0.278468661337163
C -2.569491885556557 -1.031952112374539 -0.23219336154296194
C -1.2548475086084858 1.1101717084934979 0.5610332462719422
C -0.2503354113774145 0.9954183116616321 -0.6068819464736536
N -1.4018539277436446 2.5203441336077304 0.6791149555477839
O -0.41292823668762235 1.6540444462795345 -1.5670982840335423
O 0.8271400542767186 0.28011899489113945 -0.3592898029410414
Si 2.254396554168306 -0.39416161115819276 0.10062610390493812
H -2.027361647181615 -1.5847974343538467 1.687041066513997
H -0.7820132246595979 -1.561364444858979 0.5209830725496067
H -1.8818424369561413 -3.025888108470712 0.5628983195419973
H -4.571584859588327 -1.4995745611281943 0.5110456170334163
H -4.032603557544334 -2.622142078528938 -0.6925894946435791
H -4.401923442421721 -0.7916715601435013 -1.1327120107864164
H 2.2709487904852264 -2.246387862923831 -1.798471849207572
H 1.914829757692354 -2.948985789013746 -0.10550838948411445
H 3.5284759131020227 -2.4279947813550624 -0.5701593582094416
H 4.50672116997818 -0.09821400908761879 -1.22344668737037
H 4.405125307569992 0.8050516871838201 0.19686530625983548
H 3.6879176079742813 1.4855724532439059 -1.2426570110043411
H 3.2686582703936167 -0.5244288028983115 2.419927867452284
H 1.4032341723619945 -0.6387871575274437 2.520616357814518
H 2.2138496112883566 0.8884674237296929 2.506870739810577
H -3.402497343404643 0.43075241179115265 1.0513951715409546
H -3.1375147719511225 1.1733132842296756 -0.4052926920819348
H -2.0722069900730906 -1.0825385928848281 -1.3201292468517334
H -0.8822753151957877 0.62023762854601 1.4788380673846113
H -2.3002824561562427 2.7690904347290863 1.00388062384543
H -1.2701593554241626 2.9504650648823723 -0.3476513700692103
34
3 fs input comment
C -1.7301914984297058 -1.9671826985500238 0.6952364398025388
C -3.9215940301600356 -1.4953625716354864 -0.39989752785541427
C 2.579817855424293 -2.192761863019293 -0.6209299383774283
C 3.727054114942771 0.5617932978218749 -0.6514480542979204
C 2.2665055831254595 -0.11825979489667145 2.044944080597194
C -2.581204499042043 0.48418706413070484 0.24945090473391965
C -2.5410674949556773 -1.0275029927210317 -0.25533561891797363
C -1.2833824565447502 1.1217432146507504 0.5568579767723107
C -0.2709488604944739 0.9782825456620441 -0.6145999429153823
N -1.4554135353913005 2.516792854533435 0.6741767071272121
O -0.42086828656742403 1.6795824894518003 -1.5521637307631435
O 0.7905821851568484 0.2788589856502202 -0.37331279873277806
Si 2.2340371747725176 -0.43770190243111373 0.09601540396200749
H -2.0372628713466137 -1.6728036821982033 1.6612116363270975
H -0.6694033849542784 -1.5757164047358065 0.5085211668048424
H -1.8748395318503992 -3.0135459487908447 0.6163063620438619
H -4.579234303958558 -1.5176870389465624 0.4709484610699983
H -3.9476322135633044 -2.5741861430110813 -0.593254792351646
H -4.48914963143477 -0.8832065890578449 -1.0145964396106553
H 2.3728704887021395 -2.1396029524668037 -1.6037067975258512
H 2.0081894380368897 -2.947101086143509 -0.13289189644572957
H 3.6504899791986687 -2.426216854186478 -0.4703556709523545
H 4.411812433076195 -0.07553827101387903 -1.0435258334813913
H 4.3623207346870965 0.7013827872352659 0.27049166008579545
H 3.7317637547405886 1.488800182385157 -1.1386764225342663
H 3.127583997331074 -0.6292137466199968 2.445825663148029
H 1.4254894836253742 -0.6649008412713626 2.519023131917799
H 2.270520530306059 0.8540905137710455 2.5136469416146334
H -3.376924941889447 0.4026820131804952 1.0958985068773333
H -3.062814421116475 1.1762121632361557 -0.42338882225353225
H -2.1138514688235643 -1.1441970223838993 -1.3039312230313647
H -0.7783968712066017 0.6593445684533048 1.4129076863613366
H -2.4117846025510525 2.761005278629969 0.9592792749350333
